member,state,consumers,peak_demand_mw,status,risk_score,satisfaction_score,tri_state_rate,market_alternative_rate,rate_gap,contract_end_year,estimated_ctp_millions,annual_revenue_millions,early_warning_signals,recommended_actions
Mountain View Electric,CO,54000,198,active,0.952,0.312,65.58,49.09,16.49,2050,286.2,51.2,Board discussing power supply alternatives; Colorado policy supports cooperative choice; Large enough to achieve purchasing economies independently; Engaged consultant for exit feasibility study; Negative sentiment in public board minutes,Proactive executive engagement; Customized rate impact analysis; Explore partial requirements contract; Co-design local generation project; Schedule member satisfaction review
La Plata Electric (LPEA),CO,35000,145,departing_2026,0.92,0.232,57.89,44.14,13.75,2026,140.8,33.1,Board discussing power supply alternatives; Colorado policy supports cooperative choice; Large enough to achieve purchasing economies independently; Engaged consultant for exit feasibility study; Negative sentiment in public board minutes,Proactive executive engagement; Customized rate impact analysis; Co-design local generation project; Schedule member satisfaction review
Kit Carson Electric,NM,29000,118,partial_exit,0.7,0.433,63.02,53.38,9.64,2040,160.1,29.3,Board discussing power supply alternatives; Engaged consultant for exit feasibility study,Proactive executive engagement; Customized rate impact analysis; Co-design local generation project; Schedule member satisfaction review
Poudre Valley REA,CO,43000,165,active,0.672,0.292,61.1,40.61,20.49,2050,227.7,39.7,Board discussing power supply alternatives; Colorado policy supports cooperative choice; Significant rate gap vs market alternatives; Large enough to achieve purchasing economies independently; Engaged consultant for exit feasibility study; Negative sentiment in public board minutes,Proactive executive engagement; Customized rate impact analysis; Explore partial requirements contract; Co-design local generation project; Schedule member satisfaction review
Intermountain REA,CO,28500,112,active,0.545,0.213,59.77,44.48,15.29,2050,151.2,26.4,Board discussing power supply alternatives; Colorado policy supports cooperative choice; Negative sentiment in public board minutes,Proactive executive engagement; Customized rate impact analysis; Explore partial requirements contract; Co-design local generation project; Schedule member satisfaction review
Mountain Parks Electric,CO,22300,95,active,0.535,0.31,58.83,52.11,6.71,2050,96.7,22.0,Board discussing power supply alternatives; Colorado policy supports cooperative choice; Negative sentiment in public board minutes,Proactive executive engagement; Customized rate impact analysis; Co-design local generation project; Schedule member satisfaction review
Empire Electric,CO,15200,68,active,0.526,0.589,61.59,51.24,10.35,2050,61.8,16.5,Board discussing power supply alternatives; Colorado policy supports cooperative choice,Proactive executive engagement; Customized rate impact analysis; Schedule member satisfaction review
Gunnison County Electric,CO,8900,42,active,0.465,0.415,65.03,45.1,19.94,2050,39.0,10.8,Colorado policy supports cooperative choice; Significant rate gap vs market alternatives,Explore partial requirements contract; Schedule member satisfaction review
Highline Electric,CO,6400,31,active,0.444,0.422,56.26,39.38,16.88,2050,38.1,6.9,Colorado policy supports cooperative choice,Explore partial requirements contract; Schedule member satisfaction review
San Miguel Power,CO,11500,52,active,0.444,0.588,60.13,40.46,19.67,2050,43.9,12.3,Colorado policy supports cooperative choice; Significant rate gap vs market alternatives,Explore partial requirements contract; Schedule member satisfaction review
Y-W Electric,CO,8700,41,active,0.438,0.563,66.69,34.9,31.79,2050,33.5,10.8,Colorado policy supports cooperative choice; Significant rate gap vs market alternatives,Explore partial requirements contract; Schedule member satisfaction review
San Isabel Electric,CO,19800,76,active,0.411,0.508,59.36,42.35,17.01,2050,103.5,17.8,Colorado policy supports cooperative choice,Explore partial requirements contract; Schedule member satisfaction review
K.C. Electric,CO,3100,18,active,0.407,0.508,57.73,45.28,12.45,2050,22.1,4.1,Colorado policy supports cooperative choice,Schedule member satisfaction review
San Luis Valley REC,CO,11200,48,active,0.404,0.591,63.84,53.15,10.68,2050,64.3,12.1,Colorado policy supports cooperative choice,Schedule member satisfaction review
Columbus Electric,NM,5600,28,active,0.387,0.456,60.45,47.96,12.49,2050,40.6,6.7,No significant risk signals detected,Schedule member satisfaction review
Morgan County REA,CO,7600,38,active,0.385,0.444,64.84,49.46,15.39,2050,42.1,9.7,No significant risk signals detected,Explore partial requirements contract; Schedule member satisfaction review
Mora-San Miguel EC,NM,4200,21,active,0.361,0.554,61.12,38.72,22.4,2050,20.1,5.1,Significant rate gap vs market alternatives,Explore partial requirements contract; Schedule member satisfaction review
Southeast Colorado Power,CO,6800,34,active,0.339,0.666,58.41,52.06,6.35,2050,48.3,7.8,No significant risk signals detected,Schedule member satisfaction review
Socorro Electric,NM,10100,46,active,0.328,0.421,61.98,55.84,6.14,2050,61.3,11.2,No significant risk signals detected,Schedule member satisfaction review
Continental Divide EC,NM,8200,39,active,0.328,0.568,65.47,53.29,12.19,2050,36.3,10.1,No significant risk signals detected,Schedule member satisfaction review
White River Electric,CO,4100,22,active,0.326,0.617,61.77,52.86,8.91,2050,26.2,5.4,No significant risk signals detected,Schedule member satisfaction review
Springer Electric,NM,2800,14,active,0.313,0.403,59.27,59.01,0.26,2050,17.4,3.3,No significant risk signals detected,Schedule member satisfaction review
Jemez Mountains EC,NM,7800,36,active,0.292,0.521,64.91,48.49,16.42,2050,34.5,9.2,No significant risk signals detected,Explore partial requirements contract
Sierra Electric,NM,6700,32,active,0.282,0.589,69.39,51.04,18.35,2050,28.8,8.8,Significant rate gap vs market alternatives,Explore partial requirements contract
High Plains Power,WY,4800,24,active,0.273,0.543,69.62,46.38,23.24,2050,34.3,6.6,Significant rate gap vs market alternatives,Explore partial requirements contract
Northern Rio Arriba EC,NM,5100,25,active,0.238,0.621,59.59,51.19,8.4,2050,29.1,5.9,No significant risk signals detected,Standard quarterly engagement
Central New Mexico EC,NM,16500,72,active,0.232,0.586,65.13,56.52,8.61,2050,70.2,18.5,No significant risk signals detected,Standard quarterly engagement
Carbon Power & Light,WY,7400,35,active,0.225,0.572,59.26,51.1,8.15,2050,31.4,8.2,No significant risk signals detected,Standard quarterly engagement
Otero County EC,NM,9300,44,active,0.22,0.423,66.21,51.91,14.3,2050,44.5,11.5,No significant risk signals detected,Standard quarterly engagement
Wyrulec Company,WY,4100,21,active,0.217,0.478,59.14,44.24,14.89,2050,27.8,4.9,No significant risk signals detected,Standard quarterly engagement
High West Energy,WY,9100,43,active,0.214,0.461,64.35,41.82,22.53,2050,56.3,10.9,Significant rate gap vs market alternatives,Explore partial requirements contract
Niobrara Electric,WY,3600,19,active,0.205,0.682,65.65,49.13,16.52,2050,15.3,4.9,No significant risk signals detected,Explore partial requirements contract
Chimney Rock PPI,NE,3800,20,active,0.204,0.788,63.24,52.11,11.13,2050,17.3,5.0,No significant risk signals detected,Standard quarterly engagement
Wheatland REA,WY,5400,27,active,0.191,0.652,59.86,57.33,2.53,2050,33.9,6.4,No significant risk signals detected,Standard quarterly engagement
Bridger Valley Electric,WY,6200,30,active,0.181,0.616,60.49,40.25,20.24,2050,37.5,7.2,Significant rate gap vs market alternatives,Explore partial requirements contract
Big Horn REA,WY,4500,23,active,0.091,0.747,62.23,45.53,16.7,2050,21.4,5.6,No significant risk signals detected,Explore partial requirements contract
Garland Light & Power,WY,3200,16,active,0.09,0.532,61.03,52.07,8.97,2050,22.0,3.8,No significant risk signals detected,Standard quarterly engagement
