date,topic,source,headline,sentiment_score,relevance_score,is_real
2024-01-01,Member Relations,E&E News,Tri-State Board Approves Revised Member Exit Provisions,-0.265,0.75,False
2024-01-07,Energy Transition,Public Comment - FERC,Tri-State Accelerates Clean Energy Goals Ahead of 2030 Target,-0.091,0.42,False
2024-01-08,Coal Retirement,Albuquerque Journal,Workforce Transition Programs Launched for Affected Communities,0.142,0.72,False
2024-01-11,Community Impact,Public Comment - FERC,Rural Broadband Initiative Leverages Cooperative Infrastructure,0.52,0.97,False
2024-01-12,Member Relations,Public Comment - PUC,Tri-State Board Approves Revised Member Exit Provisions,-0.589,0.68,False
2024-01-13,Renewable Energy,Albuquerque Journal,Distributed Solar Growth Creates Grid Management Challenges,0.461,0.91,False
2024-01-16,Community Impact,Reuters Energy,Member Communities Benefit from Cooperative Dividend Distribution,0.737,0.5,False
2024-01-17,Rate Changes,Public Comment - FERC,FERC Reviews Tri-State Rate Filing Amid Member Concerns,-0.189,0.68,False
2024-01-20,Rate Changes,Reuters Energy,Tri-State Rates Remain Competitive vs Regional Utilities,0.198,0.46,False
2024-01-20,Community Impact,Social Media,Cooperative Model Delivers Value to Rural Western Communities,0.649,0.49,False
2024-01-21,Community Impact,Denver Post,Tri-State Awards $2M in Community Development Grants,0.047,0.46,False
2024-01-23,Coal Retirement,Reuters Energy,Coal Retirement Costs Create Long-term Financial Obligations,0.309,0.78,False
2024-01-27,Regulatory Compliance,Utility Dive,Colorado Clean Energy Standards Tighten for Wholesale Providers,0.455,0.8,False
2024-01-28,Coal Retirement,Public Comment - PUC,Workforce Transition Programs Launched for Affected Communities,-0.041,0.73,False
2024-01-28,Member Relations,Albuquerque Journal,Kit Carson Electric Reports Savings After Partial Exit,0.09,0.93,False
2024-01-29,Energy Transition,Reuters Energy,Energy Transition Costs Raise Concerns Among Rural Cooperatives,0.613,0.41,False
2024-01-29,Energy Transition,Casper Star-Tribune,Energy Transition Costs Raise Concerns Among Rural Cooperatives,0.092,0.62,False
2024-01-31,Regulatory Compliance,Reuters Energy,FERC Order Impacts Cooperative Wholesale Market Participation,0.5,0.44,False
2024-02-02,Renewable Energy,Casper Star-Tribune,Distributed Solar Growth Creates Grid Management Challenges,0.128,0.98,False
2024-02-03,Rate Changes,Public Comment - FERC,FERC Reviews Tri-State Rate Filing Amid Member Concerns,-1.0,0.9,False
2024-02-04,Grid Reliability,Public Comment - FERC,Tri-State Invests $150M in Transmission Upgrades,-0.03,0.6,False
2024-02-05,Energy Transition,Denver Post,Tri-State Announces New Solar Project in Eastern Colorado,0.557,0.52,False
2024-02-06,Regulatory Compliance,Reuters Energy,Tri-State Passes NERC CIP Compliance Audit,0.291,0.91,False
2024-02-06,Member Relations,E&E News,Tri-State Board Approves Revised Member Exit Provisions,-0.204,0.69,False
2024-02-07,Member Relations,E&E News,La Plata Electric Explores Partial Requirements Options,0.044,0.72,False
2024-02-09,Renewable Energy,Denver Post,New Pumped Hydro Study Shows Promise for Tri-State Territory,0.545,0.59,False
2024-02-12,Member Relations,Colorado Sun,Tri-State Board Approves Revised Member Exit Provisions,-0.13,0.44,False
2024-02-12,Grid Reliability,Utility Dive,Tri-State Deploys Advanced Fault Detection Technology,0.293,0.83,False
2024-02-13,Coal Retirement,E&E News,Environmental Groups Praise Accelerated Coal Phase-out,0.115,0.46,False
2024-02-15,Energy Transition,Utility Dive,Tri-State Signs 500MW Wind Power Purchase Agreement,-0.002,0.87,False
2024-02-15,Member Relations,Public Comment - PUC,United Power Seeks Greater Flexibility in Tri-State Contract,-0.271,0.41,False
2024-02-18,Energy Transition,Public Comment - FERC,Western Cooperatives Face Challenges in Energy Transition Timeline,0.029,0.68,False
2024-02-18,Member Relations,Public Comment - PUC,Small Rural Co-ops Express Support for Tri-State Stability,-0.177,0.89,False
2024-02-18,Rate Changes,E&E News,Tri-State Rates Remain Competitive vs Regional Utilities,-0.575,0.48,False
2024-02-22,Rate Changes,Casper Star-Tribune,Tri-State Proposes 4.2% Wholesale Rate Increase for 2026,-0.666,0.68,False
2024-02-26,Grid Reliability,Casper Star-Tribune,Tri-State Grid Performance Exceeds NERC Standards,0.219,0.78,False
2024-02-28,Coal Retirement,Social Media,Community Impact Plans Announced for Craig Station Workers,0.25,0.81,False
2024-03-03,Community Impact,Denver Post,Tri-State Awards $2M in Community Development Grants,0.043,0.59,False
2024-03-03,Rate Changes,Denver Post,Rate Restructuring Could Benefit Smaller Member Systems,-0.195,0.72,False
2024-03-07,Renewable Energy,Social Media,Colorado Cooperative Renewable Portfolio Reaches 40%,-0.025,1.0,False
2024-03-10,Regulatory Compliance,E&E News,FERC Order Impacts Cooperative Wholesale Market Participation,-0.227,0.62,False
2024-03-15,Coal Retirement,Utility Dive,Craig Station Unit 3 Retirement Timeline Under Discussion,0.055,0.9,False
2024-03-16,Renewable Energy,Utility Dive,Tri-State Wind Capacity Surpasses 1GW Milestone,0.447,0.97,False
2024-03-16,Grid Reliability,Utility Dive,Wildfire Risk Drives Enhanced Vegetation Management Program,0.346,0.87,False
2024-03-18,Member Relations,Public Comment - PUC,La Plata Electric Explores Partial Requirements Options,-0.071,0.45,False
2024-03-18,Renewable Energy,Albuquerque Journal,Tri-State Wind Capacity Surpasses 1GW Milestone,0.293,0.8,False
2024-03-18,Coal Retirement,Reuters Energy,Craig Station Unit 3 Retirement Timeline Under Discussion,0.015,0.97,False
2024-03-22,Grid Reliability,Reuters Energy,Winter Storm Tests Western Grid Reliability,0.042,0.57,False
2024-03-24,Coal Retirement,Casper Star-Tribune,Craig Station Unit 3 Retirement Timeline Under Discussion,0.127,0.98,False
2024-03-25,Regulatory Compliance,Colorado Sun,Tri-State Enhances Cybersecurity Program for Grid Protection,0.224,0.42,False
2024-03-26,Regulatory Compliance,E&E News,Tri-State Passes NERC CIP Compliance Audit,0.102,0.52,False
2024-03-26,Member Relations,Colorado Sun,LPEA Board Votes to Leave Tri-State Generation and Transmission,-0.244,0.83,True
2024-03-26,Member Relations,Public Comment - PUC,United Power Seeks Greater Flexibility in Tri-State Contract,-0.287,0.61,False
2024-03-27,Rate Changes,Colorado Sun,Tri-State Rates Remain Competitive vs Regional Utilities,-0.466,0.76,False
2024-03-27,Coal Retirement,Casper Star-Tribune,Community Impact Plans Announced for Craig Station Workers,-0.251,0.58,False
2024-04-02,Rate Changes,Denver Post,Tri-State Rates Remain Competitive vs Regional Utilities,0.033,0.78,False
2024-04-04,Regulatory Compliance,Colorado Sun,New EPA Rules Affect Remaining Coal Fleet Operations,-0.101,0.84,False
2024-04-04,Rate Changes,Public Comment - FERC,Tri-State Rates Remain Competitive vs Regional Utilities,-0.378,0.94,False
2024-04-05,Rate Changes,E&E News,Tri-State Rates Remain Competitive vs Regional Utilities,-0.154,0.66,False
2024-04-06,Rate Changes,Casper Star-Tribune,Wholesale Rate Stability Critical for Rural Communities,-0.434,0.62,False
2024-04-08,Rate Changes,Reuters Energy,Rate Restructuring Could Benefit Smaller Member Systems,-0.505,0.45,False
2024-04-08,Renewable Energy,Albuquerque Journal,Colorado Cooperative Renewable Portfolio Reaches 40%,0.616,0.53,False
2024-04-08,Renewable Energy,Utility Dive,Colorado Cooperative Renewable Portfolio Reaches 40%,0.247,0.74,False
2024-04-09,Rate Changes,Colorado Sun,"Agencies downgrade Tri-State bonds, adding to rural power cooperative's ongoing pressures",-0.127,0.79,True
2024-04-10,Rate Changes,Denver Post,FERC Reviews Tri-State Rate Filing Amid Member Concerns,-0.04,0.72,False
2024-04-11,Energy Transition,Casper Star-Tribune,Tri-State Signs 500MW Wind Power Purchase Agreement,0.467,0.7,False
2024-04-11,Community Impact,Reuters Energy,Cooperative Model Delivers Value to Rural Western Communities,0.808,0.81,False
2024-04-16,Energy Transition,Social Media,Tri-State Accelerates Clean Energy Goals Ahead of 2030 Target,0.289,0.61,False
2024-04-18,Renewable Energy,Denver Post,New Pumped Hydro Study Shows Promise for Tri-State Territory,0.437,0.83,False
2024-04-21,Member Relations,Social Media,La Plata Electric Explores Partial Requirements Options,-0.214,0.92,False
2024-04-24,Member Relations,Albuquerque Journal,La Plata Electric Explores Partial Requirements Options,0.038,0.93,False
2024-04-27,Coal Retirement,Public Comment - FERC,Environmental Groups Praise Accelerated Coal Phase-out,0.158,0.57,False
2024-04-27,Grid Reliability,Albuquerque Journal,Wildfire Risk Drives Enhanced Vegetation Management Program,0.183,0.88,False
2024-04-27,Coal Retirement,Albuquerque Journal,Craig Station Unit 3 Retirement Timeline Under Discussion,-0.24,0.84,False
2024-04-27,Member Relations,Public Comment - FERC,Kit Carson Electric Reports Savings After Partial Exit,-0.164,0.8,False
2024-04-29,Member Relations,Denver Post,La Plata Electric Explores Partial Requirements Options,-0.6,0.9,False
2024-04-30,Member Relations,Colorado Sun,"Colorado's two largest energy co-ops break from Xcel, Tri-State aiming for more local control and lower costs",-0.202,0.71,True
2024-05-01,Energy Transition,Social Media,Tri-State Announces New Solar Project in Eastern Colorado,-0.145,0.59,False
2024-05-01,Grid Reliability,Reuters Energy,Tri-State Invests $150M in Transmission Upgrades,0.326,0.78,False
2024-05-03,Community Impact,Reuters Energy,Cooperative Model Delivers Value to Rural Western Communities,0.482,0.58,False
2024-05-04,Grid Reliability,Social Media,Tri-State Deploys Advanced Fault Detection Technology,0.116,0.55,False
2024-05-06,Renewable Energy,Social Media,Distributed Solar Growth Creates Grid Management Challenges,0.466,0.45,False
2024-05-06,Energy Transition,Social Media,Tri-State Accelerates Clean Energy Goals Ahead of 2030 Target,0.548,0.96,False
2024-05-07,Rate Changes,Public Comment - FERC,FERC Reviews Tri-State Rate Filing Amid Member Concerns,0.082,0.85,False
2024-05-07,Rate Changes,Social Media,Wholesale Rate Stability Critical for Rural Communities,-0.092,0.46,False
2024-05-09,Member Relations,Albuquerque Journal,La Plata Electric Explores Partial Requirements Options,0.071,0.48,False
2024-05-10,Renewable Energy,Public Comment - PUC,Tri-State Wind Capacity Surpasses 1GW Milestone,0.149,0.91,False
2024-05-14,Regulatory Compliance,Colorado Sun,Tri-State Passes NERC CIP Compliance Audit,0.006,0.6,False
2024-05-16,Member Relations,Casper Star-Tribune,Tri-State Introduces New Contract Flexibility Framework,-0.154,0.43,False
2024-05-17,Regulatory Compliance,Social Media,Tri-State Passes NERC CIP Compliance Audit,-0.02,0.99,False
2024-05-19,Energy Transition,Social Media,Tri-State Signs 500MW Wind Power Purchase Agreement,0.31,0.49,False
2024-05-22,Member Relations,Reuters Energy,Member Cooperatives Push for More Local Generation Rights,-0.466,0.46,False
2024-05-25,Renewable Energy,Social Media,Tri-State Wind Capacity Surpasses 1GW Milestone,0.16,0.64,False
2024-05-25,Member Relations,Public Comment - PUC,United Power Seeks Greater Flexibility in Tri-State Contract,-0.261,0.47,False
2024-06-01,Energy Transition,Colorado Sun,Tri-State's Responsible Energy Plan Draws Mixed Reactions from Members,0.442,0.82,False
2024-06-02,Energy Transition,E&E News,Tri-State's Responsible Energy Plan Draws Mixed Reactions from Members,-0.258,0.69,False
2024-06-05,Grid Reliability,Denver Post,Tri-State Invests $150M in Transmission Upgrades,0.355,0.99,False
2024-06-07,Coal Retirement,Public Comment - FERC,Craig Station Unit 3 Retirement Timeline Under Discussion,-0.448,0.98,False
2024-06-08,Renewable Energy,Colorado Sun,Tri-State Wind Capacity Surpasses 1GW Milestone,0.66,0.54,False
2024-06-08,Rate Changes,Public Comment - FERC,Rate Restructuring Could Benefit Smaller Member Systems,0.012,0.72,False
2024-06-08,Community Impact,Public Comment - FERC,Tri-State Foundation Supports Workforce Development Programs,0.847,0.67,False
2024-06-09,Rate Changes,Albuquerque Journal,Tri-State Rates Remain Competitive vs Regional Utilities,-0.337,0.65,False
2024-06-10,Member Relations,Denver Post,United Power Seeks Greater Flexibility in Tri-State Contract,-0.074,0.68,False
2024-06-10,Rate Changes,Public Comment - PUC,Tri-State Proposes 4.2% Wholesale Rate Increase for 2026,-0.406,0.93,False
2024-06-13,Community Impact,Colorado Sun,Member Communities Benefit from Cooperative Dividend Distribution,0.589,0.79,False
2024-06-20,Regulatory Compliance,Reuters Energy,Colorado Clean Energy Standards Tighten for Wholesale Providers,-0.409,0.76,False
2024-06-25,Grid Reliability,Utility Dive,Winter Storm Tests Western Grid Reliability,0.236,0.41,False
2024-07-01,Energy Transition,Public Comment - FERC,Western Cooperatives Face Challenges in Energy Transition Timeline,-0.391,0.5,False
2024-07-01,Regulatory Compliance,Casper Star-Tribune,Colorado Clean Energy Standards Tighten for Wholesale Providers,0.117,0.48,False
2024-07-02,Member Relations,Social Media,Member Cooperatives Push for More Local Generation Rights,-0.427,0.85,False
2024-07-04,Regulatory Compliance,Casper Star-Tribune,New EPA Rules Affect Remaining Coal Fleet Operations,0.362,0.54,False
2024-07-05,Community Impact,E&E News,Cooperative Model Delivers Value to Rural Western Communities,0.229,0.75,False
2024-07-06,Energy Transition,Social Media,Energy Transition Costs Raise Concerns Among Rural Cooperatives,-0.125,0.92,False
2024-07-08,Coal Retirement,Casper Star-Tribune,Coal Retirement Costs Create Long-term Financial Obligations,0.012,0.51,False
2024-07-09,Coal Retirement,Reuters Energy,Environmental Groups Praise Accelerated Coal Phase-out,-0.143,0.85,False
2024-07-09,Energy Transition,Public Comment - PUC,Energy Transition Costs Raise Concerns Among Rural Cooperatives,0.635,0.64,False
2024-07-10,Coal Retirement,Denver Post,Coal Retirement Costs Create Long-term Financial Obligations,-0.443,0.96,False
2024-07-10,Coal Retirement,Utility Dive,Craig Station Unit 3 Retirement Timeline Under Discussion,-0.502,0.77,False
2024-07-13,Renewable Energy,Colorado Sun,New Pumped Hydro Study Shows Promise for Tri-State Territory,0.085,0.52,False
2024-07-14,Energy Transition,Albuquerque Journal,Tri-State's Responsible Energy Plan Draws Mixed Reactions from Members,0.197,0.97,False
2024-07-14,Renewable Energy,Social Media,New Pumped Hydro Study Shows Promise for Tri-State Territory,0.53,0.93,False
2024-07-19,Grid Reliability,Albuquerque Journal,Tri-State Grid Performance Exceeds NERC Standards,0.058,0.69,False
2024-07-22,Grid Reliability,Public Comment - FERC,Tri-State Grid Performance Exceeds NERC Standards,0.365,0.53,False
2024-07-24,Coal Retirement,Albuquerque Journal,Environmental Groups Praise Accelerated Coal Phase-out,0.443,0.41,False
2024-07-28,Regulatory Compliance,Albuquerque Journal,Colorado Clean Energy Standards Tighten for Wholesale Providers,0.291,0.48,False
2024-07-31,Coal Retirement,Colorado Sun,Community Impact Plans Announced for Craig Station Workers,0.025,0.49,False
2024-07-31,Coal Retirement,Albuquerque Journal,Coal Retirement Costs Create Long-term Financial Obligations,0.356,0.55,False
2024-08-02,Rate Changes,Public Comment - FERC,Cooperative Members Question Rising Wholesale Power Costs,-0.362,0.77,False
2024-08-04,Coal Retirement,Public Comment - PUC,Community Impact Plans Announced for Craig Station Workers,-0.103,0.69,False
2024-08-07,Energy Transition,Utility Dive,Clean Energy Shift Creates Job Transition Questions for Tri-State Workers,0.134,0.92,False
2024-08-13,Regulatory Compliance,Casper Star-Tribune,Tri-State Enhances Cybersecurity Program for Grid Protection,0.304,0.98,False
2024-08-14,Renewable Energy,Colorado Sun,Tri-State Generation going big into renewable energy,0.425,0.92,True
2024-08-16,Energy Transition,Denver Post,Tri-State Announces New Solar Project in Eastern Colorado,0.062,0.55,False
2024-08-16,Member Relations,Casper Star-Tribune,Member Cooperatives Push for More Local Generation Rights,-0.375,1.0,False
2024-08-19,Rate Changes,Reuters Energy,FERC Reviews Tri-State Rate Filing Amid Member Concerns,-0.352,0.63,False
2024-08-20,Renewable Energy,Albuquerque Journal,Distributed Solar Growth Creates Grid Management Challenges,-0.178,0.75,False
2024-08-20,Rate Changes,E&E News,Tri-State Proposes 4.2% Wholesale Rate Increase for 2026,-0.472,0.61,False
2024-08-21,Rate Changes,Utility Dive,Cooperative Members Question Rising Wholesale Power Costs,-0.26,0.48,False
2024-08-24,Rate Changes,Public Comment - PUC,Wholesale Rate Stability Critical for Rural Communities,-0.5,0.48,False
2024-08-29,Member Relations,Colorado Sun,United Power Seeks Greater Flexibility in Tri-State Contract,-0.487,0.45,False
2024-08-30,Energy Transition,E&E News,Tri-State Announces New Solar Project in Eastern Colorado,0.349,0.4,False
2024-09-02,Grid Reliability,E&E News,Winter Storm Tests Western Grid Reliability,0.206,0.81,False
2024-09-03,Coal Retirement,Public Comment - FERC,Community Impact Plans Announced for Craig Station Workers,0.32,0.55,False
2024-09-04,Energy Transition,Reuters Energy,Tri-State Signs 500MW Wind Power Purchase Agreement,-0.048,0.91,False
2024-09-06,Coal Retirement,Public Comment - PUC,Community Impact Plans Announced for Craig Station Workers,-0.144,0.8,False
2024-09-09,Grid Reliability,Public Comment - FERC,Winter Storm Tests Western Grid Reliability,0.472,0.49,False
2024-09-10,Energy Transition,Casper Star-Tribune,Clean Energy Shift Creates Job Transition Questions for Tri-State Workers,-0.192,0.82,False
2024-09-12,Renewable Energy,Public Comment - PUC,Distributed Solar Growth Creates Grid Management Challenges,0.782,0.46,False
2024-09-12,Renewable Energy,Public Comment - PUC,Battery Storage Integration Advances at Tri-State Facilities,0.042,0.65,False
2024-09-15,Energy Transition,Colorado Sun,Tri-State's Responsible Energy Plan Draws Mixed Reactions from Members,-0.265,0.73,False
2024-09-15,Grid Reliability,Utility Dive,"Detractors take note: Tri-State is meeting its reliability, affordability and clean energy obligations",0.051,0.99,True
2024-09-16,Energy Transition,Reuters Energy,Tri-State's Responsible Energy Plan Draws Mixed Reactions from Members,0.175,0.4,False
2024-09-17,Renewable Energy,Albuquerque Journal,Tri-State Wind Capacity Surpasses 1GW Milestone,0.105,0.86,False
2024-09-22,Renewable Energy,Casper Star-Tribune,Distributed Solar Growth Creates Grid Management Challenges,0.463,0.84,False
2024-09-24,Member Relations,Denver Post,Small Rural Co-ops Express Support for Tri-State Stability,-0.337,0.47,False
2024-09-24,Member Relations,Social Media,United Power Seeks Greater Flexibility in Tri-State Contract,-0.093,0.51,False
2024-09-28,Renewable Energy,E&E News,Distributed Solar Growth Creates Grid Management Challenges,0.054,0.47,False
2024-10-01,Member Relations,Denver Post,Tri-State Board Approves Revised Member Exit Provisions,0.032,0.87,False
2024-10-03,Renewable Energy,Denver Post,New Pumped Hydro Study Shows Promise for Tri-State Territory,0.349,0.74,False
2024-10-05,Rate Changes,Denver Post,Wholesale Rate Stability Critical for Rural Communities,-0.285,0.73,False
2024-10-11,Energy Transition,E&E News,Clean Energy Shift Creates Job Transition Questions for Tri-State Workers,0.207,0.42,False
2024-10-14,Coal Retirement,Reuters Energy,Tri-State Plans Managed Coal Plant Transition Through 2030,0.391,0.55,False
2024-10-14,Coal Retirement,Social Media,Craig Station Unit 3 Retirement Timeline Under Discussion,-0.057,0.96,False
2024-10-15,Regulatory Compliance,Denver Post,New EPA Rules Affect Remaining Coal Fleet Operations,0.169,0.59,False
2024-10-17,Rate Changes,Albuquerque Journal,Tri-State Proposes 4.2% Wholesale Rate Increase for 2026,-0.767,0.71,False
2024-10-20,Rate Changes,Albuquerque Journal,FERC Reviews Tri-State Rate Filing Amid Member Concerns,-0.103,0.45,False
